Id,Predicted
0,36.67694655371912
1,33.695669843657974
2,23.993695188555282
3,34.65376613759573
4,34.84069901005404
5,20.782925472932526
6,34.590835984315774
7,25.91549130170845
8,33.56586575176121
9,17.174119924804025
10,32.63838127921142
11,16.81207727162436
12,28.063976494419254
13,24.562385835794124
14,36.93200786837092
15,29.529903387051107
16,35.94910245929403
17,29.89517473902326
18,28.25993073078312
19,23.590033380396214
20,38.41462514089262
21,32.728196473532066
22,49.14442963778646
23,32.63321677363855
24,30.935854419035174
25,35.593760511192286
26,31.322170641746247
27,23.502422879833855
28,35.89181429919099
29,30.5875074572256
30,28.13629573152318
31,36.88374866306125
32,28.988553456437366
33,10.628406272962117
34,36.611779748050466
35,13.339123151416388
36,22.91056744585692
37,30.76570661150595
38,15.57993185013748
39,22.22030500262485
40,18.393688040066287
41,25.43931117451934
42,36.84257244267871
43,36.46073299358901
44,41.55250343931759
45,31.598398495986824
46,41.05178407624904
47,32.27574087694562
48,21.37686891975939
49,33.85445764134904
50,31.827429484011976
51,22.64725505446299
52,32.523273601872475
53,24.17175970210448
54,20.577320091746806
55,32.86270916774437
56,27.079729801492224
57,29.391566626783508
58,28.483235339638515
59,31.979141452539473
60,24.74620288344303
61,26.204537818091318
62,36.55241985556564
63,13.012370443598293
64,30.946227041542333
65,20.82462189271912
66,18.61491993077741
67,22.5527719275661
68,19.920730765038687
69,29.163501739976983
70,22.82183135091239
71,16.98677787471737
72,29.19507010933849
73,21.450189665450775
74,35.22331686497086
75,45.47528883663599
76,33.06949344579377
77,30.863204597869508
78,16.564714456587954
79,27.135324693762698
80,20.641012432332065
81,28.680353154181798
82,33.8275748666329
83,35.958719924230365
84,20.958658322636975
85,41.87019411135595
86,23.029145609726015
87,21.836656760255856
88,21.579528049923077
89,25.917654324464884
90,33.294162405478616
91,14.67932842975027
92,17.3752511031853
93,35.30197825289216
94,24.814548649834805
95,21.815140343144463
96,18.48260270072539
97,36.66930880991697
98,37.08168203591981
99,53.26179489565598
100,25.643126496039148
101,39.76586987716324
102,25.31439754036411
103,34.02204586200524
104,19.769442057486312
105,28.946173350521615
106,21.137415520127156
107,25.142961154244627
108,37.55719214344257
109,18.85328881759454
110,26.53686993776849
111,13.63780888982928
112,20.581225309438604
113,21.842472752532146
114,19.0416380948038
115,39.038572212145084
