Id,age,gender,mean_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,igbo,standard_sentence
0,24.0,0,1821.6906,0.01379450548252,0.0827253733083098,-6.095135487607806,0.2100933418072089,3112.257251154368,151.99908088,-123.9997262692494,69,281,39,23.84689342403628,0,1
1,22.5,0,1297.8187,0.0253485121269184,0.0962424747690059,-4.851244789472374,0.0788494053171641,1688.0163887765325,129.19921875,-86.92847782058215,69,281,21,19.38866213151928,0,1
2,22.0,0,1332.8524,0.0190674156460441,0.1194560931686425,-5.817752665783289,0.1053652385572805,2576.9017059374173,117.45383523,-98.45066996496276,69,281,1,21.640997732426303,0,1
3,22.0,0,1430.3499,0.0170036758305884,0.1023892640286828,-3.800009765472724,0.1737011416408668,3269.751413282665,117.45383523,-56.45976166487887,69,281,9,19.644126984126984,0,1
4,22.0,1,1688.7234,0.0280274095640635,0.1248313100805887,-5.227183395389281,0.1072794843560145,1930.897374687883,112.34714674,-80.34920393012352,69,281,11,18.041904761904764,0,1
5,33.0,0,1258.5216,0.0256415261226269,0.093994300572409,-4.26863305428326,0.1520361879615551,2350.7475765614263,123.046875,-93.4532295026751,69,281,21,19.59764172335601,0,1
6,18.0,1,1789.0259,0.022058885075647,0.1383218670584982,-6.56975004594924,0.1777127475511073,2771.7932365410047,92.28515625,-132.86498787401757,69,281,29,21.84997732426304,0,1
7,18.0,0,1042.9526,0.0138589184851399,0.1045785712702697,-7.004454497333675,0.1118577860169491,2701.802810870444,215.33203125,5.586936546106252,4,16,1,1.367936507936508,1,0
8,18.0,0,779.33765,0.0139207831299991,0.0808476819111308,-8.035462547525718,0.0390965661337209,1448.0934794323591,143.5546875,-43.823949872833865,0,0,1,1.9896598639455785,1,0
9,18.0,1,732.35297,0.0177351607112758,0.1143797940086329,-4.902878741615279,0.0731658935546875,1722.6242470362458,86.1328125,-47.04454034436717,5,22,1,1.4379138321995464,1,0
10,28.0,1,1111.2589,0.0215924437193089,0.1021271188123881,-5.122390897510901,0.0805571212597874,1822.9274436836863,123.046875,-84.30408728079898,69,281,13,17.554285714285715,0,1
11,20.0,1,1331.6096,0.0156853915338826,0.1041882113399699,-5.341798523688219,0.1410549558998414,2297.9556488862286,117.45383523,-86.25695812062388,69,281,13,17.99546485260771,0,1
12,32.0,0,1683.1677,0.0220877248594145,0.1084095086763988,-5.225033758929206,0.1490093093230694,2183.1706987430566,117.45383523,-103.783291110789,69,281,26,17.925804988662133,0,1
13,20.0,0,1470.7318,0.012966213118536,0.0649881783070026,-6.093966775140742,0.0765279134114583,2186.139029569056,92.28515625,-16.998422875407158,4,12,1,1.0933786848072562,1,0
14,20.0,1,821.28864,0.0169530053587486,0.1078442836699352,-5.629958386459794,0.0433054956896551,1833.2825721573647,107.66601562,-60.09118121731378,0,0,1,0.6683446712018141,1,0
15,44.0,1,1291.2698,0.0355137462250735,0.1604323164553452,-5.893322414017224,0.1185826878089689,1966.9968189375447,89.10290948,-108.80944045199342,69,281,1,31.997097505668933,0,1
16,32.0,0,1172.0302,0.0216641298266336,0.1080397140119346,-6.317363144610377,0.1394698483747357,2719.5969260070506,129.19921875,-120.02461662819242,69,281,10,15.232290249433106,0,1
17,19.0,1,1659.2017,0.0175578737739974,0.2386370988316345,-9.065114108590672,0.1035991467927631,3576.4101086873447,80.74951172,-15.770098874000617,3,12,1,1.7635374149659864,1,0
18,22.0,0,1695.0831,0.0255015906609085,0.1634446095921183,-6.103726748494147,0.1262749565972222,2530.73608451984,129.19921875,-92.59384030392374,69,281,1,25.899092970521544,0,1
19,19.0,0,680.2029,0.0183878929125222,0.106508351976209,-5.892018565878044,0.0510406494140625,1971.77378865396,151.99908088,-31.717309213316582,1,6,1,2.2141043083900227,1,0
20,24.0,1,889.95404,0.0277029034378587,0.1443782538304926,-6.450401792972944,0.0672957920792079,2673.59798730948,184.5703125,-125.1196419342648,5,22,1,2.275555555555556,1,0
