Id,gender,mean_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,igbo,standard_sentence
0,,1056.9174,0.0220817325055027,0.1710764246757973,-5.76486666217482,0.0329631073771109,1549.6070500600424,80.74951172,-116.66233765744694,69,281,2,38.19850340136055,0,1
1,,1231.8457,0.0265708000746378,0.1325853935543565,-4.993291858512754,0.1238946052751457,2344.817369187901,89.10290948,-78.25382429532267,69,281,27,29.605442176870746,0,1
2,,958.29065,0.0180435860602581,0.0962894382497858,-5.40850515547061,0.0891488882211538,1939.5748962818748,123.046875,-71.63074211960677,6,22,2,2.275555555555556,1,0
3,,1396.5417,0.0272900771655568,0.0889012450057843,-4.206881513864823,0.0970539411374451,1832.059112513784,123.046875,-101.53301292023268,69,281,31,22.15183673469388,0,1
4,,1633.8677,0.0216210987189453,0.1038554564664848,-6.593513314988218,0.1409501774569268,2534.6111683881727,112.34714674,-134.91406976567893,69,281,35,22.430476190476192,0,1
5,,1043.3937,0.0257779461606412,0.1088057388002498,-6.931467101484668,0.0559910765481651,1740.7018552512943,135.99917763,-85.45554636535665,2,10,1,2.523174603174603,0,0
6,,1685.1119,0.0213560288883015,0.0894084068437476,-5.283504269686938,0.1507531888455623,2503.981083328545,151.99908088,-111.679084056145,69,281,28,19.458321995464846,0,1
7,,1383.9468,0.0152068041454336,0.0735485934567048,-4.7945449972705685,0.0721558988764045,2112.056001712507,123.046875,-46.0849376354986,6,15,2,1.9708390022675737,1,0
8,,1465.3152,0.020371015867976,0.0890011473761586,-4.910040511203181,0.1582276965725806,2497.038193834084,143.5546875,-114.97704920651684,69,281,46,23.916553287981856,0,1
9,,692.27057,0.0179422214875933,0.1284668636181762,-6.971980449164527,0.0642274100825471,2225.098897075537,135.99917763,-25.985415379519026,0,0,1,2.439002267573696,1,0
10,,1409.3546,0.0316410466583924,0.1407444086966086,-5.905014954877114,0.1438005324225567,2542.52340181629,107.66601562,-104.81660516588124,69,281,18,23.04335600907029,0,1
11,,700.4155,0.0237521353096452,0.0980875673804718,-6.876533100321037,0.0677959735576923,2249.208775849474,99.38401442,-1.640450485463445,4,14,1,1.4885714285714289,1,0
12,,1858.1233,0.0217613564974901,0.1355426773605169,-5.643470627725033,0.2092589373363874,2951.1292477892225,107.66601562,-97.88135085213096,69,281,12,18.134784580498867,0,1
13,,1697.6172,0.0240865668986067,0.0904330678481736,-6.492650324413125,0.0858309659090909,2323.8367827615475,198.76802885,-63.03355024217101,3,13,1,1.2727891156462583,1,0
14,,1446.9703,0.0221805661919385,0.0912846429250991,-6.710476099814338,0.1168807507208276,2491.3323844952124,135.99917763,-118.05219078528393,69,281,34,25.565170068027207,0,1
15,,1877.064,0.0258167156031193,0.1199549087766253,-6.377544493407206,0.1679581246909001,2703.5058786152863,129.19921875,-113.60621419841227,69,281,17,19.644081632653062,0,1
16,,1492.3733,0.0281671936835973,0.0924938935358299,-4.681295508454794,0.1222359367363147,1778.6743438038593,234.90767045,-76.19668636506479,69,281,1,23.7518820861678,0,1
17,,1346.3811,0.0277059651536534,0.1052070502103027,-6.154656807417608,0.1181902017532119,2298.3121973238567,95.703125,-116.8299492870246,69,281,14,20.31746031746032,0,1
18,,1392.2776,0.0194772527358365,0.1007961057490655,-5.346783318768089,0.1808761935763889,2544.6874945104864,123.046875,-100.69382085764856,69,281,25,17.11310657596372,0,1
19,,1482.8053,0.0181650103246375,0.0908017136746659,-5.988051228557555,0.1163202194940476,2410.987288748167,151.99908088,-101.5871722217328,69,281,12,16.579047619047618,0,1
20,,1598.835,0.024688938213743,0.1213294753058713,-5.939660501683635,0.1705131370768424,2873.718334036784,86.1328125,-116.80001349574928,69,281,31,25.70448979591837,0,1
21,,1100.6768,0.022862879582807,0.0910772319436581,-4.423276653279611,0.1251702846208434,2255.3630128799923,172.265625,-74.5720893093079,69,281,17,24.636371882086166,0,1
22,,1409.1815,0.0279504021602611,0.0977951741403923,-3.9483320437707197,0.1023982379666011,1678.4637359871929,95.703125,-101.32540379436593,69,281,51,36.91972789115646,0,1
23,,1239.2799,0.0257198491452526,0.0926260098643891,-4.643791139621192,0.0941191652045014,2068.382240458911,117.45383523,-89.40636343379275,69,281,22,19.22612244897959,0,1
24,,1562.6927,0.0386068455247321,0.1659088083292327,-5.687081430490968,0.09466306908084,2126.7565868707206,107.66601562,-102.8664814510251,69,281,10,19.702630385487527,0,1
25,,831.72107,0.0187478047340484,0.1360672318957635,-5.12561179512096,0.0800097131686436,1514.9682142168683,86.1328125,-126.75097889020502,69,281,54,27.16734693877551,0,1
26,,743.32965,0.0425674446077173,0.2166916564154048,-5.0849485575663484,0.0433170094209558,1203.367487876451,92.28515625,-33.92195535156645,0,0,1,2.786394557823129,1,0
27,,1298.384,0.0295653337554303,0.1510805692936586,-7.791704094635182,0.0742322198275862,3266.4108993472123,184.5703125,1.107570536717823,4,19,1,3.353015873015873,1,0
28,,1485.7017,0.027122683093517,0.1315746664352076,-5.089466287049736,0.1741209215167548,2915.9497648094875,129.19921875,-94.3078758510702,69,281,18,20.99083900226757,0,1
29,,1720.5541,0.0199549167114282,0.0976225206400505,-5.454414325606818,0.1229699205743618,1935.734137110732,143.5546875,-102.07214558020138,69,281,25,16.393287981859412,0,1
30,,603.6319,0.0361721714352517,0.1867648800832268,-4.816788622510038,0.0462774232376453,1324.3986379241005,135.99917763,-22.70273185371162,12,44,1,7.616145124716553,1,0
31,,918.7067,0.0224237056396797,0.1162572282262686,-5.595459202824055,0.1169168454061685,1672.9751425466056,123.046875,-112.62630023329696,69,281,46,19.34222222222222,0,1
32,,949.5806,0.0280908913980784,0.1673237365635009,-7.937542951439861,0.0574496749543795,1371.0468885394312,99.38401442,-128.23314130704173,0,0,1,2.507755102040816,1,0
33,,1152.361,0.0110321288464718,0.0624258225653628,-4.836680354278596,0.0526398689516129,1921.286648277887,95.703125,0.8863046879471397,4,14,1,1.4093877551020408,1,0
