Id,age,gender,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,duration,MFCC-1-95,MFCC-2-95,MFCC-3-95,MFCC-4-95,MFCC-5-95,MFCC-6-95,MFCC-7-95,MFCC-8-95,MFCC-9-95,MFCC-10-95,MFCC-11-95,MFCC-12-95,MFCC-13-95,MFCC-1-5,MFCC-2-5,MFCC-3-5,MFCC-4-5,MFCC-5-5,MFCC-6-5,MFCC-7-5,MFCC-8-5,MFCC-9-5,MFCC-10-5,MFCC-11-5,MFCC-12-5,MFCC-13-5,MFCC-1-50,MFCC-2-50,MFCC-3-50,MFCC-4-50,MFCC-5-50,MFCC-6-50,MFCC-7-50,MFCC-8-50,MFCC-9-50,MFCC-10-50,MFCC-11-50,MFCC-12-50,MFCC-13-50,MFDD-1-95,MFDD-2-95,MFDD-3-95,MFDD-4-95,MFDD-5-95,MFDD-6-95,MFDD-7-95,MFDD-8-95,MFDD-9-95,MFDD-10-95,MFDD-11-95,MFDD-12-95,MFDD-13-95,MFDD-1-5,MFDD-2-5,MFDD-3-5,MFDD-4-5,MFDD-5-5,MFDD-6-5,MFDD-7-5,MFDD-8-5,MFDD-9-5,MFDD-10-5,MFDD-11-5,MFDD-12-5,MFDD-13-5,MFDD-1-50,MFDD-2-50,MFDD-3-50,MFDD-4-50,MFDD-5-50,MFDD-6-50,MFDD-7-50,MFDD-8-50,MFDD-9-50,MFDD-10-50,MFDD-11-50,MFDD-12-50,MFDD-13-50,mean_silence,silence_ratio,wps
0,24.0,0,1821.6906,3999.717,145.43066,0.01379450548252,0.0827253733083098,0.0022538047574122,0.2100933418072089,3112.257251154368,151.99908088,-123.9997262692494,69,281,39,23.84689342403628,35.095238095238095,-199.11728,140.93845,45.541172,59.143467,16.022568,4.3388877,25.05021,2.0653234,-2.2113228,11.951905,-2.3972356,20.669085,3.9419012,-565.24066,-67.30745,-117.653465,-41.57028,-64.869804,-59.355125,-34.96674,-37.993866,-48.498188,-29.54734,-37.672443,-12.0565815,-30.840797,-347.08936,56.410088,-10.904266,-0.6976515,-3.795348,-17.98676,-6.525797,-13.1117115,-20.792292,-8.870714,-17.967611,0.5098196,-11.062173,35.64308,21.00131,14.67233,8.086904,6.4890795,6.455605,5.9716434,3.7422135,4.067903,3.4916239,3.1024687,3.3316762,3.1867158,-27.0447,-19.875929,-15.856379,-8.177751,-6.8944535,-6.750739,-6.070181,-4.058843,-4.0783377,-3.6022158,-3.2941601,-3.2769492,-3.090511,-1.9180634,-0.2716586,0.32362714,0.14918971,0.04518205,0.07795483,-0.014606606,0.09529036,0.058667723,-0.016156387,0.08881532,0.01661651,-0.09766519,0.61145880574452,0.6794908574013052,1.966078697421981
1,22.5,0,1297.8187,3998.859,145.37268,0.0253485121269184,0.0962424747690059,0.0078186389297897,0.0788494053171641,1688.0163887765325,129.19921875,-86.92847782058215,69,281,21,19.38866213151928,23.3312925170068,-149.80354,192.58574,41.786594,82.32438,32.985016,15.790327,14.558547,12.371294,20.99111,10.533949,6.5927277,12.328688,2.8165648,-435.43216,19.970993,-71.74603,-3.3353343,-28.18108,-33.326794,-20.959072,-22.44652,-14.521562,-34.197693,-23.946604,-11.946077,-34.210762,-285.46402,126.21022,-1.4471034,38.93062,11.623586,-4.960791,-1.4394916,-4.8075895,3.8486276,-6.315073,-6.332773,0.7386285,-12.635956,25.820036,19.216331,11.467256,7.0885077,5.900358,5.4726853,3.3817372,2.6943498,3.5079553,4.5937486,2.7865145,2.2677147,3.619054,-23.92409,-19.149618,-11.641115,-6.62669,-6.1946683,-5.213865,-3.1925073,-3.1144383,-3.2463434,-4.988979,-2.720492,-2.1263952,-3.642833,-0.2447464,-0.12757441,-0.34141546,-0.13140005,0.024593957,-0.0044216155,-0.16095307,0.1001976,-0.18471274,0.012313303,-0.003722927,-0.03395719,0.1487017,0.9232696253104419,0.8310153463373864,2.957401521999009
2,22.0,0,1332.8524,3998.8025,145.42395,0.0190674156460441,0.1194560931686425,0.0029742818449428,0.1053652385572805,2576.9017059374173,117.45383523,-98.45066996496276,69,281,1,21.640997732426303,21.667891156462584,-185.66185,143.34511,67.93127,64.13986,43.2536,39.665783,26.933218,20.435266,11.948206,32.416115,13.955309,13.296352,15.811745,-448.43387,-37.033752,-23.611835,-16.785467,-17.11773,-37.13239,-19.138615,-24.72083,-34.90683,-9.125001,-14.778632,-17.022099,-12.108567,-289.10693,83.67135,18.288124,21.384052,11.82346,12.171316,5.439518,3.461225,-7.156732,8.421452,1.0036323,0.8479131,3.8174157,21.606749,18.924524,9.104823,7.115953,5.9689226,8.819862,4.1527176,3.7159102,5.041786,3.7924953,2.8843474,3.0651076,2.7872424,-18.799503,-18.011017,-9.556457,-7.5379777,-5.4595003,-9.471796,-4.9108834,-4.189909,-5.2053757,-3.8020763,-3.1456883,-3.0351944,-2.722961,-0.97574043,-0.35445702,0.07842985,0.0021297373,-0.15205245,-0.043665387,0.125068,0.055123307,0.070863396,-0.03188674,-0.043581866,-0.039228126,-0.10746635,21.640997732426303,0.9987588351888015,3.184435416522771
3,22.0,0,1430.3499,3998.451,147.98083,0.0170036758305884,0.1023892640286828,0.0223705533960699,0.1737011416408668,3269.751413282665,117.45383523,-56.45976166487887,69,281,9,19.644126984126984,22.476961451247167,-91.91335,154.17282,105.08175,102.10265,28.012474,15.64632,2.2558432,22.360065,7.0065813,13.116244,21.386316,6.8110847,7.148,-504.35297,-109.98759,-36.571754,-35.5767,-50.712635,-55.777493,-67.12422,-39.26552,-49.427216,-31.691568,-18.174482,-31.629454,-31.551035,-232.12648,44.636555,23.31462,25.095451,-7.0685825,-14.870356,-33.497555,-7.1255045,-18.65894,-5.328512,0.0,-8.608719,-9.888906,35.42977,24.770496,12.262861,10.141556,7.329358,6.8742113,7.0598974,6.1661787,5.2157555,4.387808,3.8240502,3.7168891,3.7062736,-27.25568,-24.025032,-13.45182,-9.943987,-7.042915,-7.1102624,-7.0700545,-5.442683,-5.592794,-4.3143797,-3.8352165,-3.531143,-3.894851,-1.1391169,0.0,0.0,0.0,-0.08345768,0.0,0.02178553,-0.035289828,0.0,0.0,0.0,0.0,0.0,2.1826807760141094,0.8739671964440283,3.069809954057266
4,22.0,1,1688.7234,3998.6113,145.44772,0.0280274095640635,0.1248313100805887,0.0053686253221205,0.1072794843560145,1930.897374687883,112.34714674,-80.34920393012352,69,281,11,18.041904761904764,19.0902947845805,-153.18854,206.97777,41.70266,74.18324,66.46189,28.223648,21.590378,33.930595,2.6458764,20.579039,19.147493,7.898931,16.098827,-453.52438,-23.043325,-53.907234,-3.5819535,-10.656823,-41.589527,-24.124165,-4.6516576,-39.163967,-22.969664,-24.145975,-20.569366,-12.067421,-256.97177,117.74408,-1.2470266,32.655045,27.4442,-2.7359776,-0.038407296,13.69276,-18.015676,-1.1008092,1.8992445,-6.561805,2.8740373,24.149443,25.904825,8.739485,7.2041965,6.8280463,7.634796,4.140938,3.8579803,4.0648527,4.155328,3.9651797,2.4651093,2.629134,-22.787,-24.769976,-8.805564,-7.008763,-7.1310263,-7.2181616,-4.215723,-3.7848516,-4.043328,-4.2283998,-4.2707124,-2.4575243,-2.6405296,-1.168164,-0.7216984,0.26036605,-0.28023908,0.25743383,0.05095679,0.12730479,-0.070063494,-0.009404007,0.035933718,0.105237514,-0.032991186,0.1137177,1.6401731601731604,0.9450825650150496,3.614402018335111
5,33.0,0,1258.5216,3998.8406,145.61612,0.0256415261226269,0.093994300572409,0.0140009085606509,0.1520361879615551,2350.7475765614263,123.046875,-93.4532295026751,69,281,21,19.59764172335601,26.724807256235827,-131.33603,179.3541,67.453636,71.70053,21.011438,15.055305,6.555911,18.936659,5.3919263,13.907017,15.506346,10.806438,2.0931091,-407.5434,-21.201897,-32.530956,-23.939987,-32.172966,-40.451973,-43.371998,-18.632008,-33.98487,-29.324272,-11.001798,-14.533743,-25.980934,-256.93137,105.54468,8.665527,9.4417,-0.13698778,-9.747656,-15.204162,1.0746247,-10.005424,-7.3666883,2.6672535,-2.0961056,-9.0798235,25.4122,23.116808,9.56749,9.099608,5.4645925,5.2463408,4.519249,3.8357494,3.3611226,4.2621,2.2780046,2.1193538,2.7077513,-21.62511,-21.664303,-10.201922,-9.254965,-5.7876835,-5.392809,-4.65571,-3.8486123,-3.5126252,-4.071867,-2.5997667,-2.2566762,-2.656599,-0.69378436,-0.109610625,0.0,0.0,0.08222287,0.058866166,-0.03763152,0.0,0.012113114,0.005398048,0.0805906,0.023053026,0.0008334796,0.9332210344455243,0.7333127433045639,2.5818708190645565
6,18.0,1,1789.0259,3999.5728,145.42523,0.022058885075647,0.1383218670584982,0.0014021478408719,0.1777127475511073,2771.7932365410047,92.28515625,-132.86498787401757,69,281,29,21.84997732426304,27.25777777777778,-157.97382,162.1729,28.49178,74.18355,35.387024,17.919872,16.687124,11.068763,5.0861893,17.092316,13.293503,11.140785,4.73069,-463.99286,-30.160149,-53.577374,-13.314423,-35.404804,-36.02777,-22.651754,-28.077568,-30.404554,-17.012493,-24.440912,-16.78713,-18.725414,-274.03302,78.81754,-7.746875,14.081175,0.6332637,-2.8194296,-4.915633,-4.8880215,-8.9398985,3.1751757,-3.9394913,-0.23074706,-5.2572327,26.80496,22.289331,8.341669,8.273343,6.6199646,5.80751,3.5373247,3.7850816,3.4520912,3.46385,3.042002,2.8202293,2.1340127,-24.278341,-19.344795,-7.9838634,-7.4566846,-7.350054,-5.9787626,-3.2953315,-3.5820007,-3.4023035,-3.3849661,-3.218456,-2.9294567,-2.112174,-0.4352029,-0.51265645,-0.3050919,-0.07822135,0.18751226,-0.031031521,-0.10974829,-0.029166238,-0.041640528,-0.021115478,0.06438169,-0.007791344,-0.025240585,0.7534474939401048,0.8016052336473478,2.5313875754117072
7,18.0,0,1042.9526,3989.9595,147.1871,0.0138589184851399,0.1045785712702697,0.0009078290233821,0.1118577860169491,2701.802810870444,215.33203125,5.586936546106252,4,16,1,1.367936507936508,1.367936507936508,-236.90608,113.38105,43.25849,58.05193,37.03689,33.279957,8.251781,5.6158237,26.338118,27.363878,7.286377,21.270014,10.36283,-367.46445,5.3465157,-38.45498,4.0895333,-6.7951384,-16.428776,-9.002644,-20.04333,-6.987954,-5.562951,-18.49829,0.491679,-18.301731,-296.55414,70.36816,3.6128032,28.496061,18.61723,3.9852312,0.66609335,-2.6790895,13.556793,11.547115,-4.4092855,12.53577,-4.7971554,8.563019,11.5620575,11.068903,6.2397385,4.300072,6.0915875,2.047325,3.4502525,2.925094,3.2950246,1.6405591,1.503418,2.8991325,-9.54744,-10.048309,-11.655641,-6.3483453,-3.0820427,-6.5453815,-1.7687055,-3.4139156,-3.8346064,-3.155236,-1.6963723,-3.15097,-3.652195,-2.071787,-3.5661268,-1.7100409,0.22617093,0.26504642,0.8709519,-0.069691196,0.0060605407,-0.30317047,0.49277017,0.05042626,-0.04318083,-0.20148598,1.367936507936508,1.0,2.9241123230447896
8,18.0,0,779.33765,2927.2144,157.62047,0.0139207831299991,0.0808476819111308,0.0003237747346111,0.0390965661337209,1448.0934794323591,143.5546875,-43.823949872833865,0,0,1,1.9896598639455785,1.9896598639455783,-303.88043,148.71965,39.553493,58.14026,27.372288,22.581314,21.694645,2.3172374,19.81229,17.571896,19.08996,7.741961,9.748931,-521.5829,75.18787,-57.102844,-13.107673,-44.38858,-45.69754,-16.252222,-29.556293,-24.289488,-22.94688,-15.069975,-23.649271,-13.662746,-408.80243,118.708466,8.2838,11.721661,-3.3602386,-5.3619227,6.4362407,-12.448006,-6.9312444,-1.8129153,3.8774967,-8.74444,-2.5826945,15.23621,6.007861,12.825063,5.015773,6.599181,7.4063783,4.0670705,3.1129062,3.824742,5.291574,4.0447607,3.399733,2.591724,-17.01015,-5.3792934,-7.2081327,-7.209215,-4.9931135,-6.262324,-2.7278562,-3.467843,-2.4187887,-4.0562816,-3.6822753,-3.6073582,-2.4423137,-1.4473104,-0.5230384,0.5007132,0.84892714,-0.8476783,-0.37143373,-0.5475086,0.052231416,0.43380946,0.16270079,-0.1818222,0.31408852,0.06545375,1.9896598639455785,1.0000000000000002,0.0
9,18.0,1,732.35297,3988.0715,147.95331,0.0177351607112758,0.1143797940086329,0.0074251771082471,0.0731658935546875,1722.6242470362458,86.1328125,-47.04454034436717,5,22,1,1.4379138321995464,1.4843537414965986,-122.67655,185.586,69.59147,59.735733,36.082405,29.203293,29.685698,26.621595,27.0901,22.084915,15.691984,15.395107,18.104364,-421.13678,1.8544946,-44.004986,7.6209292,-12.358432,-29.574306,-11.414387,-25.206802,-18.985384,-20.291456,-27.625181,-9.073122,-2.5129871,-246.98332,130.00208,8.470775,35.829987,16.557323,0.7023178,9.893103,-1.9416188,-6.0423317,5.8479376,-0.06054887,-2.3094888,7.62224,41.41693,20.072117,12.515294,4.840717,5.219716,5.5848823,2.809899,3.6838038,4.7491693,4.718973,4.802403,3.2061327,2.1838381,-21.043045,-19.838978,-9.93809,-2.7957714,-4.514172,-5.7198296,-3.5692534,-4.4218907,-2.963009,-3.185025,-3.6655552,-2.5086558,-1.5397146,-3.3334935,0.29190153,-0.4587362,-0.7842074,0.048137493,-0.36398736,0.23131439,0.7943895,-0.19229382,-1.1404911,-0.90411633,0.28418213,-0.1909234,1.4379138321995464,0.9687137183012526,3.3684692942254815
